"","zip","city","state","latitude","longitude"
"306","01105","Springfield","MA",42.096644,-72.5798
"307","01106","Longmeadow","MA",42.050395,-72.5712
"308","01107","Springfield","MA",42.120193,-72.6061
"309","01108","Springfield","MA",42.084094,-72.55523
"310","01109","Springfield","MA",42.116277,-72.55031
"311","01111","Springfield","MA",42.170731,-72.604842
"312","01114","Springfield","MA",42.170731,-72.604842
"313","01115","Springfield","MA",42.102894,-72.591633
"314","01116","Longmeadow","MA",42.170731,-72.604842
"315","01118","Springfield","MA",42.093144,-72.5291
"316","01119","Springfield","MA",42.128442,-72.50932
"317","01128","Springfield","MA",42.095344,-72.48857
"318","01129","Springfield","MA",42.121031,-72.4896
"319","01133","Springfield","MA",42.170731,-72.604842
"320","01138","Springfield","MA",42.170731,-72.604842
"321","01139","Springfield","MA",42.170731,-72.604842
"322","01144","Springfield","MA",42.101796,-72.59151
"323","01151","Indian Orchard","MA",42.153926,-72.50531
"324","01152","Springfield","MA",42.170731,-72.604842
"325","01195","Springfield","MA",42.1,-72.58
"326","01199","Springfield","MA",42.119943,-72.604983
"327","01201","Pittsfield","MA",42.45384,-73.254
"328","01202","Pittsfield","MA",42.3929,-73.228483
"329","01203","Pittsfield","MA",42.3929,-73.228483
"330","01220","Adams","MA",42.619727,-73.11842
"331","01222","Ashley Falls","MA",42.057496,-73.32177
"332","01223","Becket","MA",42.314449,-73.09335
"333","01224","Berkshire","MA",42.3929,-73.228483
"334","01225","Cheshire","MA",42.551731,-73.1653
"335","01226","Dalton","MA",42.476575,-73.11547
"336","01227","Dalton","MA",42.516145,-73.092852
"337","01229","Glendale","MA",42.279292,-73.343545
"338","01230","Great Barrington","MA",42.189715,-73.35249
"339","01231","Sheffield","MA",42.153001,-73.298131
"340","01235","Hinsdale","MA",42.433661,-73.09278
"341","01236","Housatonic","MA",42.266874,-73.36236
"342","01237","Lanesboro","MA",42.557346,-73.24364
"343","01238","Lee","MA",42.299263,-73.2327
"344","01240","Lenox","MA",42.36237,-73.27683
"345","01242","Lenox Dale","MA",42.336557,-73.24599
"346","01243","Middlefield","MA",42.356088,-73.010448
"347","01244","Mill River","MA",42.139104,-73.20312
